[01483946][I] gp_test   cmd: t appc settings dump
[01483947][I] settings  [T:   12] settings_dump:12319 [BEIS] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [BPRO] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [LBST] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [WPRO] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [WPCo] = ffffffff
[01483947][I] set[39m[I] settings  [T:   12] settings_dump:12319 [PDPS] = ffff
[01483947][I] settings  [T:   12] settings_dump:12319 [SFps] = 8
[01483947][I] settings  [T:   12] settings_dump:12319 [SLst] = 2
[01483947][I] settings  [T:   12] settings_dump:12319 [ATSP] = 60000
[01483947][I] settings  [T:   12] settings_dump:12319 [AVDP] = 30000
[01483947][I] settings  [T:   12] settings_dump:12319 [APDP] = 40000
[01483947][I] settings  [T:   12] settings_dump:12319 [ATDP] = 50000
[01483947][I] settings  [T:   12] settings_dump:12319 [GRCS] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [QDLM] = 2
[01483947][I] settings  [T:   12] settings_dump:12319 [BSTS] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [SMPR] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [FWCB] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [VEBE] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [MOPT] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [MBRG] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [TWMB] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [PDGs] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [FTld] = 2
[01483947][I] settings  [T:   12] settings_dump:12319 [FTLB] = 32
[01483947][I] settings  [T:   12] settings_dump:12319 [TWSR] = b
[01483947][I] settings  [T:   12] settings_dump:12319 [FTSs] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [LKOR] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [LENs] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [LHLp] = ffffffff
[01483947][I] settings  [T:   12] settings_dump:12319 [AHSP] = 70000
[01483947][I] settings  [T:   12] settings_dump:12319 [LBTn] = 1
[01483947][I] settings  [T:   12] settings_dump:12319 [VCTL] = 0
[01483947][I] settings  [T:   12] settings_dump:12319 [VHSl] = 4
[01483947][I] settings  [T:   12] settings_dump:12319 [VHSe] = 0
